type,latitude,longitude,altitude (m),name
T,12.918160000,77.641632000,878.4,GPS data
T,12.918167945,77.641638251,878.4,
T,12.918175889,77.641644503,878.4,
T,12.918183834,77.641650754,878.4,
T,12.918191779,77.641657005,878.3,
T,12.918199724,77.641663256,878.3,
T,12.918207668,77.641669508,878.3,
T,12.918215613,77.641675759,878.3,
T,12.918223558,77.641682010,878.3,
T,12.918231503,77.641688261,878.3,
T,12.918239447,77.641694513,878.3,
T,12.918247392,77.641700764,878.3,
T,12.918255337,77.641707015,878.3,
T,12.918263281,77.641713266,878.3,
T,12.918271226,77.641719518,878.3,
T,12.918279171,77.641725769,878.3,
T,12.918287116,77.641732020,878.3,
T,12.918295060,77.641738271,878.3,
T,12.918303005,77.641744523,878.3,
T,12.918310950,77.641750774,878.2,
T,12.918318894,77.641757025,878.2,
T,12.918326839,77.641763276,878.2,
T,12.918334784,77.641769528,878.2,
T,12.918342729,77.641775779,878.2,
T,12.918350673,77.641782030,878.2,
T,12.918358618,77.641788281,878.2,
T,12.918366563,77.641794533,878.2,
T,12.918374508,77.641800784,878.2,
T,12.918382452,77.641807035,878.2,
T,12.918390397,77.641813286,878.2,
T,12.918398342,77.641819538,878.2,
T,12.918406286,77.641825789,878.2,
T,12.918414231,77.641832040,878.2,
T,12.918422176,77.641838291,878.2,
T,12.918430121,77.641844543,878.2,
T,12.918438065,77.641850794,878.2,
T,12.918446010,77.641857045,878.2,
T,12.918453955,77.641863296,878.2,
T,12.918461899,77.641869548,878.2,
T,12.918469844,77.641875799,878.2,
T,12.918477789,77.641882050,878.2,
T,12.918485734,77.641888302,878.2,
T,12.918493678,77.641894553,878.2,
T,12.918501623,77.641900804,878.2,
T,12.918509568,77.641907055,878.2,
T,12.918517513,77.641913307,878.1,
T,12.918525457,77.641919558,878.1,
T,12.918533402,77.641925809,878.1,
T,12.918541347,77.641932060,878.1,
T,12.918549291,77.641938312,878.1,
T,12.918557236,77.641944563,878.1,
T,12.918565181,77.641950814,878.1,
T,12.918573126,77.641957065,878.1,
T,12.918581070,77.641963317,878.1,
T,12.918589015,77.641969568,878.1,
T,12.918596960,77.641975819,878.1,
T,12.918604905,77.641982070,878.1,
T,12.918612849,77.641988322,878.1,
T,12.918620794,77.641994573,878.1,
T,12.918628739,77.642000824,878.1,
T,12.918636683,77.642007075,878.1,
T,12.918644628,77.642013327,878.1,
T,12.918652573,77.642019578,878.1,
T,12.918660518,77.642025829,878.1,
T,12.918668462,77.642032080,878.1,
T,12.918676407,77.642038332,878.1,
T,12.918684352,77.642044583,878.1,
T,12.918692296,77.642050834,878.1,
T,12.918700241,77.642057085,878.1,
T,12.918708186,77.642063337,878.1,
T,12.918716131,77.642069588,878.0,
T,12.918724075,77.642075839,878.0,
T,12.918732020,77.642082090,878.0,
T,12.918739965,77.642088342,878.0,
T,12.918747910,77.642094593,878.0,
T,12.918755854,77.642100844,878.0,
T,12.918763799,77.642107095,878.0,
T,12.918771744,77.642113347,878.0,
T,12.918779688,77.642119598,878.0,
T,12.918787633,77.642125849,878.0,
T,12.918795578,77.642132101,878.0,
T,12.918803523,77.642138352,878.0,
T,12.918811467,77.642144603,878.0,
T,12.918819412,77.642150854,878.0,
T,12.918827357,77.642157106,878.0,
T,12.918835302,77.642163357,878.0,
T,12.918843246,77.642169608,878.0,
T,12.918851191,77.642175859,878.0,
T,12.918859136,77.642182111,878.0,
T,12.918867080,77.642188362,878.0,
T,12.918875025,77.642194613,878.0,
T,12.918882970,77.642200864,878.0,
T,12.918890915,77.642207116,878.0,
T,12.918898859,77.642213367,878.0,
T,12.918906804,77.642219618,878.0,
T,12.918914749,77.642225869,877.9,
T,12.918922693,77.642232121,877.9,
T,12.918930638,77.642238372,877.9,
T,12.918938583,77.642244623,877.9,
T,12.918946528,77.642250874,877.9,
T,12.918954472,77.642257126,877.9,
T,12.918962417,77.642263377,877.9,
T,12.918970362,77.642269628,877.9,
T,12.918978307,77.642275879,877.9,
T,12.918986251,77.642282131,877.9,
T,12.918994196,77.642288382,877.9,
T,12.919002141,77.642294633,877.9,
T,12.919010085,77.642300884,877.9,
T,12.919018030,77.642307136,877.9,
T,12.919025975,77.642313387,877.9,
T,12.919033920,77.642319638,877.9,
T,12.919041864,77.642325889,877.9,
T,12.919049809,77.642332141,877.9,
T,12.919057754,77.642338392,877.9,
T,12.919065698,77.642344643,877.9,
T,12.919073643,77.642350894,877.9,
T,12.919081588,77.642357146,877.9,
T,12.919089533,77.642363397,877.9,
T,12.919097477,77.642369648,877.9,
T,12.919105422,77.642375899,877.8,
T,12.919113367,77.642382151,877.8,
T,12.919121312,77.642388402,877.8,
T,12.919129256,77.642394653,877.8,
T,12.919137201,77.642400905,877.8,
T,12.919145146,77.642407156,877.8,
T,12.919153090,77.642413407,877.8,
T,12.919161035,77.642419658,877.8,
T,12.919168980,77.642425910,877.8,
T,12.919176925,77.642432161,877.8,
T,12.919184869,77.642438412,877.9,
T,12.919192814,77.642444663,877.9,
T,12.919200759,77.642450915,877.9,
T,12.919208704,77.642457166,877.9,
T,12.919216648,77.642463417,877.9,
T,12.919224593,77.642469668,877.9,
T,12.919232538,77.642475920,877.9,
T,12.919240482,77.642482171,878.0,
T,12.919248427,77.642488422,878.0,
T,12.919256372,77.642494673,878.0,
T,12.919264317,77.642500925,878.0,
T,12.919272261,77.642507176,878.0,
T,12.919280206,77.642513427,878.1,
T,12.919288151,77.642519678,878.1,
T,12.919296095,77.642525930,878.1,
T,12.919304040,77.642532181,878.1,
T,12.919311985,77.642538432,878.2,
T,12.919319930,77.642544683,878.2,
T,12.919327874,77.642550935,878.2,
T,12.919335819,77.642557186,878.2,
T,12.919343764,77.642563437,878.3,
T,12.919351709,77.642569688,878.3,
T,12.919359653,77.642575940,878.3,
T,12.919367598,77.642582191,878.3,
T,12.919375543,77.642588442,878.3,
