type	latitude	longitude	altitude (m)	name
T	12.916090000	77.638182000	879.2	rc_latlong
T	12.916039000	77.638193000	879.2	
T	12.915979000	77.638198000	879.1	
T	12.915905000	77.638193000	879.1	
T	12.915799000	77.638203000	879.0	
T	12.916100000	77.638355000	878.9	
T	12.916039000	77.638371000	878.9	
T	12.915960000	77.638380000	878.9	
T	12.915891000	77.638399000	878.9	
T	12.915831000	77.638415000	878.9	
T	12.916108000	77.638447000	878.7	
T	12.916042000	77.638461000	878.7	
T	12.915968000	77.638485000	878.7	
T	12.915905000	77.638507000	878.7	
T	12.915839000	77.638529000	878.8	
T	12.916135000	77.638596000	878.2	
T	12.916061000	77.638618000	878.3	
T	12.915995000	77.638637000	878.4	
T	12.915950000	77.638659000	878.4	
T	12.915891000	77.638678000	878.5	
T	12.916177000	77.638729000	877.7	
T	12.916116000	77.638748000	877.8	
T	12.916047000	77.638770000	877.9	
T	12.915987000	77.638797000	878.0	
T	12.915936000	77.638824000	878.1	
T	12.916238000	77.638930000	876.9	
T	12.916179000	77.638941000	877.1	
T	12.916116000	77.638965000	877.2	
T	12.916066000	77.638984000	877.3	
T	12.916008000	77.639011000	877.5	
